tsunade \(naruto\), blonde hair, twin ponytails, brown eyes
kurenai yuhi \(naruto\), black hair, red eyes, bandage wrap
anko mitarashi \(naruto\), purple hair, spiky ponytail, trench coat
mei terumi \(naruto\), auburn hair, green eyes, kage hat
konan \(naruto\), blue hair, paper flower, orange eyes
shizune \(naruto\), black hair, short hair, pig companion
yugao uzuki \(naruto\), purple hair, anbu mask, brown eyes
hana inuzuka \(naruto\), brown hair, fang markings, ninken dogs
kushina uzumaki \(naruto\), red hair, violet eyes, long hair
chiyo \(naruto\), grey hair, elderly, puppet scrolls
mabui \(naruto\), dark hair, glasses, forehead protector
koharu utatane \(naruto\), grey hair, elderly, kimono
karura \(naruto\), red hair, sand village robe, gourd
biwako sarutobi \(naruto\), grey hair, elderly, kimono
tsume inuzuka \(naruto\), wild brown hair, fang markings, fur coat
