soft diffused window light, morning glow, gentle shadows, natural and flattering
dramatic rim lighting, silhouette effect, high contrast, moody cinematic atmosphere
golden hour sunlight, warm amber tones, long soft shadows, lens flare, romantic mood
volumetric lighting, god rays through fog, atmospheric depth, ethereal fantasy feel
neon lighting setup, colorful reflections, cyberpunk vibes, night scene with glow
studio three-point lighting, professional portrait setup, clean key light, fill and backlight
candlelight ambiance, warm flickering glow, intimate atmosphere, chiaroscuro shadows
bioluminescent glow, fantasy atmosphere, magical particles, dark background with soft light
overcast soft light, flat even illumination, muted colors, calm and serene mood
dynamic flash photography, frozen motion, crisp shadows, realistic documentary style
backlit sunset, subject in silhouette, warm halo effect, dreamy and romantic composition
subtle studio softbox, even flattering light, minimal shadows, commercial portrait quality
