Edward Hopper style, lonely urban atmosphere
Jean-Michel Basquiat street art style, raw and energetic
Yayoi Kusama polka dots everywhere, infinite nets
Salvador Dali melting reality, surreal dreamlike
Georgia O'Keeffe giant organic forms, close-up nature
Francis Bacon distorted figures, raw emotional intensity
David Hockney vibrant pools, bright California colors
Frida Kahlo surreal self-portrait style, magical realism
Vincent van Gogh swirling brushstrokes, starry night style
Pablo Picasso cubist fragmented forms, geometric shapes
Claude Monet impressionist light and water, soft focus
Edgar Degas pastel ballet dancers, candid movement
Pierre-Auguste Renoir soft glowing skin, joyful gatherings
Paul Cezanne structured landscapes, geometric nature
Henri Matisse bold cut-outs, vibrant flat colors
Gustav Klimt golden mosaic patterns, ornate details
Egon Schiele raw expressive lines, contorted figures
Edvard Munch emotional anxiety, swirling skies
Wassily Kandinsky abstract geometric shapes, musical colors
Kazimir Malevich suprematist black square, pure geometric
Piet Mondrian primary colors and black grid, pure abstraction
Jackson Pollock chaotic drip painting, energetic splatters
Mark Rothko large color fields, deep emotional resonance
Andy Warhol pop art repetition, bright commercial colors
Roy Lichtenstein comic book dots, bold outlines
Jasper Johns encaustic flags and targets, textured surfaces
Robert Rauschenberg combine painting, mixed media collage
Cy Twombly scribbled graffiti, poetic abstract marks
Gerhard Richter photorealistic blurred photography, smooth
Lucian Freud thick impasto flesh, raw psychological portraits
Jenny Saville massive scale fleshy figures, contemporary
Marlene Dumas translucent washes, haunting portraits
Kerry James Marshall vibrant flat colors, black figures
Kehinde Wiley ornate floral backgrounds, heroic poses
Amy Sherald gray skin tones, vibrant clothing, stylized
Jordan Casteel intimate large scale portraits, warm colors
Tschabalala Self bold mixed media, exaggerated black figures
Jordan Nassar embroidered landscapes, intricate patterns
Hilary Pecis vibrant interior spaces, loose brushwork
Alex Katz flat bold colors, cool detached figures
Wayne Thiebaud thick impasto pastries, nostalgic Americana
Richard Diebenkorn ocean park series, lyrical abstraction
David Park thick impasto figures, bay area figurative
Elmer Bischoff moody atmospheric figures, rich textures
Joan Brown thick impasto autobiographical, expressive
Bruce Conner assemblage collage, dark and textured
Jay DeFeo massive impasto rose, sculptural painting
Wally Hedrick dark gestural abstraction, raw energy
Hassel Smith energetic abstract expressionism, bold
Frank Lobdell mythic abstract figures, deep colors
Sonia Gechtoff energetic gestural abstraction, vibrant
Manuel Neri expressive plaster figures, textured surfaces
Bruce Nauman neon and text, conceptual and stark
William T. Wiley quirky mixed media, poetic and illustrative
Robert Arneson ceramic pop art, expressive and satirical
Peter Voulkos abstract expressionist ceramics, raw clay
Ron Nagle miniature surreal ceramics, highly detailed
Richard Shaw hyperrealist ceramic assemblage, trompe l'oeil
Betty Woodman vibrant ceramic vessels, painterly patterns
Ken Price vibrant abstract ceramic sculptures, smooth
John Mason large scale abstract ceramics, architectural
Billy Al Bengston metallic and floral, california cool
Ed Moses abstract line paintings, rhythmic and repetitive
Larry Bell minimalist glass cubes, light and reflection
Robert Irwin perceptual phenomenology, light and space
James Turrell immersive light installations, pure color
Doug Wheeler infinite environment, light and space
Maria Nordman architectural light structures, geometric
Charles Ross prism light paintings, spectral colors
Eric Orr elemental raw materials, fire and lead
Lita Albuquerque celestial earthworks, blue and gold
Nancy Holt land art and video, cosmic and grounded
Robert Smithson earthworks and mirrors, entropy and ruin
Michael Heizer massive earthworks, monumental scale
Walter De Maria earth art and minimalism, conceptual
Richard Serra massive rusted steel, imposing and heavy
Carl Andre minimalist floor sculptures, raw industrial
Donald Judd minimalist stacked boxes, precise and industrial
Dan Flavin fluorescent light installations, simple and bright
Sol LeWitt conceptual wall drawings, geometric and systematic
Agnes Martin subtle grid paintings, serene and meditative
Brice Marden minimalist wax paintings, organic and smooth
Robert Ryman white on white paintings, pure material
Dorothea Rockburne mathematical folding, conceptual
Richard Tuttle subtle wire and paper, quiet and poetic
Eva Hesse latex and fiberglass, organic and decaying
Vito Acconci performance and architecture, conceptual
Dennis Oppenheim earthworks and conceptual, playful
Chris Burden extreme performance art, dangerous and raw
Marina Abramovic intense performance art, physical and mental
Ulay relational performance art, intimate and raw
Gina Pane body art and pain, visceral and challenging
Carolee Schneemann feminist performance, bodily and raw
Yoko Ono conceptual and participatory, simple and profound
Valie Export feminist video and body art, provocative
Hannah Wilke feminist sculpture and photo, bodily and raw
Ana Mendieta earth body art, visceral and spiritual
Rebecca Horn kinetic sculptures, poetic and mechanical
Joseph Beuys social sculpture and fat, conceptual and warm
Nam June Paik video art pioneer, technological and chaotic
Wolf Vostell television and concrete, destructive and raw
Bill Viola video installations, slow motion and spiritual
Gary Hill video and language, conceptual and linguistic
Tony Oursler video projections on dolls, psychological
Pipilotti Rist immersive video, colorful and bodily
Shirin Neshat video and photo, poetic and political
Mona Hatoum installation and sculpture, domestic and threatening
Doris Salcedo sculpture and installation, memory and trauma
Kiki Smith sculpture and print, bodily and mythic
Louise Bourgeois massive spiders and cells, psychological
Chiharu Shiota thread installations, memory and connection
Lee Bul cyborg and mythic sculptures, fragmented and grand
Do Ho Suh fabric architecture, memory and space
Kimsooja video and installation, meditative and cultural
Song Dong video and installation, memory and domestic
Yin Xiuzhen installation and sculpture, memory and material
Cai Guo-Qiang gunpowder drawings, explosive and grand
Ai Weiwei installation and sculpture, political and conceptual
Xu Bing installation and print, linguistic and conceptual
Zhang Huan performance and ash, bodily and cultural
Ma Liuming performance and photo, gender and identity
Zhu Yu conceptual and shocking, bodily and raw
Sun Yuan and Peng Yu installation, mechanical and dark
Chen Zhen mixed media installation, cultural and medical
Huang Yong Ping conceptual and chaotic, cultural and beastly
Xu Zhen conceptual and commercial, ironic and grand
Yang Fudong video and film, poetic and cinematic
Cao Fei video and installation, digital and surreal
Wang Qingsong photography, massive scale and satirical
Liu Bolin camouflage photography, invisible and political
cinematic lighting, dramatic shadows, high contrast
chiaroscuro, deep shadows and bright highlights
tenebrism, extreme contrast of light and dark
sfumato, soft blending of colors and edges
impasto, thick visible brushstrokes
alla prima, wet-on-wet painting style
glazing, thin transparent layers of paint
scumbling, dry brush over dry paint
drybrush, scratchy textured brushstrokes
stippling, dots creating tone and texture
hatching, parallel lines for shading
cross-hatching, intersecting lines for shading
contour drawing, continuous flowing lines
gesture drawing, quick expressive lines
blind contour, unbroken unobserved lines
continuous line, single unbroken line
scribble drawing, chaotic energetic lines
scratchboard, scratching black ink to reveal white
sumi-e, japanese ink wash painting
ukiyo-e, japanese woodblock print style
fresco, water-based plaster painting
mosaic, small colored tiles forming image
stained glass, vibrant colored glass panels
tapestry, woven textile art style
embroidery, stitched thread art style
quilt, patchwork fabric art style
collage, mixed media cut and paste
mixed media, combination of different materials
assemblage, 3D collage of found objects
installation art, immersive environmental art
sculpture, 3D carved or modeled art
bas-relief, shallow 3D carving
high-relief, deep 3D carving
bronze sculpture, metallic cast metal style
marble sculpture, smooth white carved stone
wood carving, textured carved wood style
ice sculpture, translucent frozen art
sand sculpture, granular textured art
glass blowing, smooth translucent blown glass
pottery, rustic clay vessel style
ceramics, glazed fired clay style
porcelain, delicate white ceramic style
origami, folded paper geometric style
papercraft, cut and folded paper style
pop-up book, 3D paper engineering style
comic book style, bold outlines and flat colors
manga style, japanese black and white comic
manhwa style, korean full color comic
manhua style, chinese comic style
webtoon style, vertical scrolling comic
graphic novel style, mature detailed comic
storyboard style, sequential cinematic panels
animatic style, rough animated sequence
concept art, professional design illustration
matte painting, cinematic background painting
photobashing, photo manipulation collage
digital painting, smooth digital brushwork
pixel art, retro blocky digital style
voxel art, 3D pixel block style
low poly, geometric 3D polygon style
high poly, highly detailed 3D model style
cel shaded, flat anime cartoon shading
flat design, minimalist vector style
vector art, smooth scalable graphic style
line art, clean black and white lines
doodle, casual hand-drawn sketch style
zentangle, structured meditative patterns
mandala, circular geometric spiritual patterns
fractal art, mathematical recursive patterns
generative art, algorithmic computer art
glitch art, digital error and distortion style
vaporwave, retro 80s 90s digital aesthetic
synthwave, neon retro futuristic aesthetic
retrowave, 80s grid and sunset aesthetic
cyberpunk, high tech low life neon style
steampunk, victorian brass and steam style
dieselpunk, 1920s-40s industrial style
atompunk, 1950s retro futuristic style
solarpunk, green utopian futuristic style
biopunk, organic biological tech style
nanopunk, microscopic nanotech style
post-cyberpunk, mature futuristic tech style
post-apocalyptic, ruined decayed world style
dystopian, dark oppressive future style
utopian, bright perfect future style
surrealism, dreamlike illogical imagery
dadaism, absurd anti-art style
cubism, fragmented geometric perspective
futurism, dynamic movement and speed
constructivism, geometric industrial art
suprematism, pure geometric abstraction
de stijl, primary colors and black grid
bauhaus, functional geometric design
art deco, geometric luxury and glamour
art nouveau, flowing organic lines
arts and crafts, handcrafted natural style
jugendstil, german art nouveau style
vienna secession, geometric art nouveau
symbolism, mystical and emotional imagery
romanticism, dramatic emotional nature
neoclassicism, classical order and reason
baroque, dramatic ornate and dynamic
rococo, playful ornate and pastel
mannerism, elongated and stylized figures
renaissance, classical proportion and realism
gothic, dark vertical and ornate
byzantine, gold mosaic and stylized
romanesque, heavy rounded and solid
paleochristian, early simple christian art
early christian, catacomb and simple style
coptic, egyptian christian stylized
ethiopian, vibrant flat christian art
armenian, intricate christian manuscript
georgian, gold and vibrant christian art
russian orthodox, gold icon style
islamic, geometric and calligraphic
persian, miniature and intricate
ottoman, floral and geometric
moorish, intricate tile and arch
mudéjar, spanish islamic christian mix
flamboyant, late gothic intricate
perpendicular, late gothic vertical
tudor, english late gothic
elizabethan, english renaissance
jacobean, english early baroque
caroline, english civil war art
restoration, english baroque
georgian, english neoclassical
regency, english refined neoclassical
victorian, english ornate and moral
edwardian, english light and elegant
modern, clean and functional
postmodern, eclectic and ironic
contemporary, current and diverse
brutalist, raw concrete and massive
deconstructivist, fragmented and chaotic
high-tech, structural and mechanical
structural expressionist, exposed structure
neofuturist, sleek and advanced
blobitecture, organic curved architecture
parametricist, algorithmic architecture
organic, natural flowing forms
vernacular, local traditional style
critical regionalist, local modern mix
sustainable, green and eco-friendly
biophilic, nature integrated design
neuroaesthetic, brain-pleasing design
phenomenological, sensory and experiential
tectonic, structural and material
material, raw and honest materials
haptic, touch and texture focused
tactile, physical texture emphasized
visual, purely optical and bright
auditory, sound and wave visualized
olfactory, scent and smell visualized
gustatory, taste and flavor visualized
kinesthetic, movement and action
proprioceptive, body position and space
vestibular, balance and orientation
interoceptive, internal body feelings
