young adult, 20-25 years old, youthful features, fresh complexion
adult, 25-35 years old, mature features, defined facial structure
mature adult, 35-45 years old, experienced look, confident presence
middle-aged, 45-55 years old, distinguished features, wise expression
seasoned adult, 55-65 years old, weathered features, life experience visible
young professional, mid-twenties, polished appearance, career-focused look
adult woman, late twenties, fully developed features, confident demeanor
adult man, early thirties, strong jawline, mature appearance
experienced warrior, thirties, battle-hardened look, intense gaze
sophisticated adult, forties, refined features, elegant presence
worldly traveler, thirties, sun-weathered skin, adventurous spirit
seasoned professional, fifties, authoritative presence, commanding look
