tracer \(overwatch\), brown hair, short hair, orange goggles
mercy \(overwatch\), blonde hair, ponytail, golden halo
widowmaker \(overwatch\), blue skin, ponytail, yellow eyes
d.va \(overwatch\), brown hair, twintails, pink visor
mei \(overwatch\), black hair, twin buns, glasses
pharah \(overwatch\), black hair, ponytail, brown eyes
ashe \(overwatch\), white hair, red coat, blue eyes
moira \(overwatch\), red hair, mechanical arm, yellow eyes
symmetra \(overwatch\), dark hair, bindi, purple sari
brigitte \(overwatch\), orange hair, braid, freckles
sombra \(overwatch\), purple hair, undercut, tattoos
ana \(overwatch\), grey hair, eyepatch, ponytail
kiriko \(overwatch\), pink hair, ponytail, fox mask
illari \(overwatch\), orange hair, ponytail, gold jewelry
juno \(overwatch\), blue hair, ponytail, freckles
black widow \(marvel\), red hair, black bodysuit, blue eyes
captain marvel \(marvel\), blonde hair, red and gold suit
scarlet witch \(marvel\), brown hair, red headpiece, red cape
storm \(marvel\), white hair, blue eyes, black outfit
jean grey \(marvel\), red hair, green eyes
gamora \(marvel\), green skin, black hair, red outfit
nebula \(marvel\), blue skin, cybernetic parts, bald
wasp \(marvel\), blonde hair, yellow and black suit, wings
she-hulk \(marvel\), green skin, black hair, muscular build
rogue \(marvel\), brown hair, white streak, green eyes
mystique \(marvel\), blue skin, red hair, yellow eyes
emma frost \(marvel\), platinum blonde hair, blue eyes
valkyrie \(marvel\), black hair, winged helmet, sword
elektra \(marvel\), black hair, red outfit, twin sai
jessica jones \(marvel\), dark hair, leather jacket, blue eyes
tsunade \(naruto\), blonde hair, twin ponytails, brown eyes
kurenai yuhi \(naruto\), black hair, red eyes, bandage wrap
anko mitarashi \(naruto\), purple hair, spiky ponytail, trench coat
mei terumi \(naruto\), auburn hair, green eyes, kage hat
konan \(naruto\), blue hair, paper flower, orange eyes
shizune \(naruto\), black hair, short hair, pig companion
yugao uzuki \(naruto\), purple hair, anbu mask, brown eyes
hana inuzuka \(naruto\), brown hair, fang markings, ninken dogs
kushina uzumaki \(naruto\), red hair, violet eyes, long hair
chiyo \(naruto\), grey hair, elderly, puppet scrolls
mabui \(naruto\), dark hair, glasses, forehead protector
koharu utatane \(naruto\), grey hair, elderly, kimono
karura \(naruto\), red hair, sand village robe, gourd
biwako sarutobi \(naruto\), grey hair, elderly, kimono
tsume inuzuka \(naruto\), wild brown hair, fang markings, fur coat
yoruichi shihoin \(bleach\), purple hair, gold eyes, dark skin
rangiku matsumoto \(bleach\), strawberry blonde hair, brown eyes
retsu unohana \(bleach\), black hair, braid, captain haori
soi fon \(bleach\), black hair, twin braids, captain haori
nemu kurotsuchi \(bleach\), black hair, purple eyes, lieutenant badge
tier harribel \(bleach\), blonde hair, green eyes, hollow mask fragment
isane kotetsu \(bleach\), silver hair, tall build, lieutenant badge
kukaku shiba \(bleach\), spiky black hair, eyepatch, bandaged arm
masaki kurosaki \(bleach\), orange hair, brown eyes, gentle smile
kirio hikifune \(bleach\), pink hair, plump build, captain haori
lisa yadomaru \(bleach\), black hair, glasses, sailor uniform
mashiro kuna \(bleach\), green hair, hollow mask, yellow eyes
koleda belobog \(zenless zone zero\), orange hair, ponytail, firefighter gear
grace howard \(zenless zone zero\), pink hair, twin drills, mechanical arm
rina \(zenless zone zero\), purple hair, maid uniform, elegant posture
corin wickes \(zenless zone zero\), blue hair, headphones, casual outfit
qingyi \(zenless zone zero\), pink hair, long braid, police uniform
zhu yuan \(zenless zone zero\), pink hair, twintails, police uniform
jane doe \(zenless zone zero\), grey hair, sunglasses, leather jacket
burnice \(zenless zone zero\), orange hair, short hair, flamethrower gear
astra yao \(zenless zone zero\), blonde hair, elegant dress, glamorous style
evelyn chevalier \(zenless zone zero\), dark hair, gothic dress, sharp features
piper wheel \(zenless zone zero\), grey hair, elderly, mechanic overalls
yanagi \(zenless zone zero\), white hair, kimono, katana
elsa \(disney\), platinum blonde hair, braid, blue dress
anna \(disney\), red hair, braids, freckles
ursula \(disney\), grey hair, purple skin, tentacles
maleficent \(disney\), horned headdress, black robe, green eyes
cruella de vil \(disney\), black and white hair, red coat
yzma \(disney\), purple robe, tall thin build, dramatic makeup
lady tremaine \(disney\), grey hair, high collar dress, stern expression
mother gothel \(disney\), dark hair, green cloak, hooded
elastigirl \(disney\), short black hair, red supersuit, blue eyes
megara \(disney\), dark hair, ponytail, purple dress
esmeralda \(disney\), black curly hair, green eyes, gold hoop earrings
jessica rabbit \(disney\), red hair, purple gown, long gloves
tiana \(disney\), black hair, green dress, brown eyes
pocahontas \(disney\), long black hair, feather, tan dress
rukia kuchiki \(bleach\), black hair, hair between eyes
orihime inoue \(bleach\), orange hair, long hair, blue eyes
