East Asian features, smooth skin tone, almond-shaped dark eyes, straight black hair
West African features, deep brown skin, full lips, tightly coiled black hair
Nordic features, fair skin with freckles, blue eyes, straight blonde hair
Middle Eastern features, olive skin tone, dark expressive eyes, wavy dark brown hair
South Asian features, warm brown skin, dark brown eyes, thick black hair
Mediterranean features, tan skin, hazel eyes, wavy dark brown hair
Indigenous American features, copper-toned skin, dark brown eyes, straight black hair
Polynesian features, golden brown skin, dark eyes, thick wavy black hair
Celtic features, pale skin, green eyes, curly red hair
Slavic features, fair skin, light blue eyes, straight light brown hair
Mixed heritage, warm caramel skin, amber eyes, wavy dark hair with highlights
Albino features, very pale skin, light pink tones, white blonde hair
