cable-knit sweater with a pleated wool mini skirt, opaque tights, and loafers
fitted turtleneck with a plaid tennis skirt, black tights, and knee-high riding boots
buttoned cardigan over a collared shirt with a wool mini skirt, knee socks, and loafers
tailored blazer over a turtleneck and a plaid skirt, sheer black tights, and heeled loafers
chunky knit sweater with a corduroy mini skirt, ribbed tights, and ankle boots
cream turtleneck with a houndstooth skirt, knee socks, and Mary Janes
argyle sweater vest over an oxford shirt with a pleated skirt, tights, and loafers
double-breasted coat over a sweater dress, wool tights, and knee-high boots
belted wool coat over a collared mini dress, opaque tights, and heeled ankle boots
cashmere sweater with tailored shorts, black tights, and loafers
fitted mock-neck top with a tartan mini skirt, tights, and riding boots
navy school blazer with a knit top and a pleated skirt, knee socks, and loafers
camel coat over a cable-knit sweater and mini skirt, thick tights, and ankle boots
button-front cardigan with a checked wool skirt, tights, and ballet flats
ivory sweater with a high-waisted tweed mini skirt, opaque tights, and loafers
ribbed knit dress with a tailored coat, wool tights, and heeled boots
pleated plaid skirt with a tucked-in cashmere turtleneck, tights, and loafers
soft crewneck sweater over a collared shirt and corduroy skirt, knee-high socks, and loafers
wool pinafore dress over a fitted turtleneck, tights, and Mary Janes
fair isle sweater with a pleated skirt, dark tights, and lace-up ankle boots
tailored coat over a sweater-and-skirt school look, wool tights, and riding boots
cream cable-knit dress with knee-high socks and chunky loafers
structured blazer with a knit mini dress, opaque tights, and heeled ankle boots
cashmere cardigan set with a plaid mini skirt, tights, and loafers
preppy rugby knit with a wool pleated skirt, knee socks, and loafers
white oxford shirt under a fitted sweater with a tartan skirt, tights, and brogues
duffle coat over a schoolgirl-inspired knit outfit, wool socks, and loafers
tweed blazer with a turtleneck and an A-line wool skirt, tights, and heeled boots
camel sweater with a dark pleated mini skirt, black tights, and riding boots
long wool coat over a fitted cardigan and mini skirt, sheer tights, and pointed ankle boots
argyle cardigan with a corduroy A-line skirt, wool tights, and loafers
fleece-lined preppy cape over a sweater dress, tights, and tall boots
tailored school-uniform-inspired coatdress with opaque tights and loafers
buttoned knit top with a wool skater skirt, tights, and ballet flats
beret-and-blazer preppy winter set with a pleated skirt, knee socks, and loafers
cream sweater vest over a crisp blouse with a plaid skirt, tights, and heeled loafers
high-neck knit with a tweed mini skirt, dark tights, and ankle boots
fitted cardigan with a velvet mini skirt, opaque tights, and Mary Janes
dark academia-inspired blazer with a pleated winter skirt, knee socks, and loafers
wool sweater layered over a shirt-dress, thick tights, and riding boots
quilted jacket over a turtleneck and plaid skirt, tights, and ankle boots
cashmere twinset with a structured mini skirt, sheer tights, and pumps
school crest blazer with a knit sweater and pleated skirt, knee-high socks, and loafers
soft mohair sweater with a cord mini skirt, wool tights, and suede ankle boots
belted sweater dress with a long tailored coat, tights, and knee-high boots
ivory blouse with a bow tie under a wool cardigan and skirt, tights, and Mary Janes
camel cape over a mini dress, opaque tights, and tall leather boots
preppy knit set with a checked mini skirt, knee socks, and loafers
fitted henley sweater with a tennis-style wool skirt, tights, and retro sneakers
tailored pea coat over a turtleneck dress, wool tights, and ankle boots
cream turtleneck with a navy pleated skirt, tights, and loafers
argyle pullover with a collared blouse and corduroy skirt, knee socks, and brogues
brown tweed blazer with a ribbed knit dress, dark tights, and riding boots
