elsa \(disney\), platinum blonde hair, braid, blue dress
anna \(disney\), red hair, braids, freckles
ursula \(disney\), grey hair, purple skin, tentacles
maleficent \(disney\), horned headdress, black robe, green eyes
cruella de vil \(disney\), black and white hair, red coat
yzma \(disney\), purple robe, tall thin build, dramatic makeup
lady tremaine \(disney\), grey hair, high collar dress, stern expression
mother gothel \(disney\), dark hair, green cloak, hooded
elastigirl \(disney\), short black hair, red supersuit, blue eyes
megara \(disney\), dark hair, ponytail, purple dress
esmeralda \(disney\), black curly hair, green eyes, gold hoop earrings
jessica rabbit \(disney\), red hair, purple gown, long gloves
tiana \(disney\), black hair, green dress, brown eyes
pocahontas \(disney\), long black hair, feather, tan dress
