casual oversized hoodie, distressed jeans, sneakers, streetwear aesthetic
elegant evening gown, silk fabric, subtle shimmer, sophisticated silhouette
tactical gear, utility vest, cargo pants, rugged functional style
vintage 1950s dress, polka dots, fitted waist, retro charm
cyberpunk streetwear, neon accents, techwear layers, futuristic edge
bohemian layered outfit, flowing fabrics, embroidery, free-spirited vibe
gothic lace dress, velvet accents, dramatic sleeves, romantic darkness
athletic wear, moisture-wicking fabric, dynamic fit, sporty and modern
traditional cultural garment, intricate patterns, rich textures, heritage style
casual summer outfit, linen shirt, shorts, relaxed and breezy
formal business attire, crisp white shirt, tailored blazer, polished look
avant-garde fashion, asymmetric cuts, bold textures, artistic statement
cozy knit sweater, soft wool, comfortable fit, warm and inviting
flowing maxi dress, lightweight fabric, ethereal silhouette, romantic style
fitted cocktail dress, elegant cut, sophisticated evening wear, glamorous look
