slender build, small bust, narrow hips, visible collarbones, slight forward shoulder posture, soft skin texture
lean frame, large bust, wide hips, natural waist definition, subtle hip dip, relaxed posture
very thin physique, flat chest, broad pelvis, prominent hip bones, angular silhouette, delicate joints
soft plus-size figure, full bust, wide hips, gentle abdominal curve, natural skin folds, confident stance
curvy plus-size, small bust, very wide hips, pear-shaped distribution, thick thighs, soft upper body
voluptuous build, large bust, narrow hips, weight carried in upper body, rounded shoulders, soft midsection
athletic build, medium bust, narrow hips, defined leg muscles, low body fat, upright posture
muscular frame, large bust, wide hips, powerful lower body, visible muscle striations, strong stance
fit physique, small bust, broad hips, toned arms, athletic taper, natural movement lines
average build, medium bust, proportional hips, natural softness, relaxed muscle tone, balanced silhouette
soft sedentary build, large bust, medium hips, gentle midsection fullness, minimal muscle definition, comfortable posture
compact dense build, small bust, narrow hips, short neck, broad ribcage, solid presence
tall slender frame, small bust, narrow hips, elongated limbs, graceful posture, subtle joint definition
short stature, large bust, wide hips, compact proportions, rounded silhouette, grounded stance
natural asymmetry, slightly uneven bust, tilted pelvis, one shoulder lower, organic body lines
post-pregnancy physique, medium bust, expanded hips, softened abdominal skin, subtle stretch marks, nurturing posture
slouched posture, forward head position, medium bust, narrow hips, relaxed core, lived-in body language
wiry lean build, small bust, narrow hips, sinewy muscles, low subcutaneous fat, agile frame
full-figured hourglass, large bust, very wide hips, defined waist curve, soft abdominal contour, balanced weight distribution
rectangular silhouette, medium bust, narrow hips, minimal waist indentation, straight torso line, even proportions
